sku,image_index,url
FY8176-amarillo,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-01.png
FY8176-amarillo,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-02.jpg
FY8176-amarillo,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-03.png
FY8176-amarillo,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-04.png
FY8176-amarillo,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-05.png
FY8176-amarillo,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-06.png
FY8176-amarillo,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-07.jpg
FY8176-amarillo,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-08.png
FY8176-amarillo,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-FY8176-amarillo-09.png
12513,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-01.jpg
12513,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-02.jpg
12513,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-03.png
12513,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-04.png
12513,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-05.jpg
12513,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-06.png
12513,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-07.png
12513,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-08.png
12513,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12513-09.png
SNX01_Gris-40*30*25cm,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-01.png
SNX01_Gris-40*30*25cm,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-02.png
SNX01_Gris-40*30*25cm,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-03.png
SNX01_Gris-40*30*25cm,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-04.png
SNX01_Gris-40*30*25cm,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-05.png
SNX01_Gris-40*30*25cm,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-06.png
SNX01_Gris-40*30*25cm,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-07.png
SNX01_Gris-40*30*25cm,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-08.png
SNX01_Gris-40*30*25cm,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-SNX01_Gris-40_30_25cm-09.png
12512,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-01.jpg
12512,2,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-02.jpg
12512,3,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-03.png
12512,4,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-04.png
12512,5,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-05.png
12512,6,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-06.png
12512,7,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-07.jpg
12512,8,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-08.png
12512,9,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12512-09.png
12522,1,https://raw.githubusercontent.com/AGracefulBoy/mx-product-images/2ada3f31d2e58c36ab12aaa3a81c9722526ba02b/mx-20260907-12522-01.jpg
